gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1932935932	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC036	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Pilpichaca	Huancavelica	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.25	-74.75											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.363Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935931	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC029	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Santa teresa	Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.133333	-72.6025											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.360Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935930	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC031	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Machu picchu	Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.153833	-72.52											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.359Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935929	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC030	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Machu picchu	Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.15	-72.516667											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.351Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935928	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CIMA078	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Cordillera Azul National Park	Not available	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.102	-76.02							2005-01-01T00:00:00			2005	2433401	2433401	OCCURRENCE		Cordillera Azul National Park- SERNANP/CIMA					CC_BY_NC_4_0		rangers			2022-01-30T11:40:19.349Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935927	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:INVS004	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE		Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.1	-71.57											2433401	2433401	OCCURRENCE		Centro para la Sostenibilidad Ambiental					CC_BY_NC_4_0		-			2022-01-30T11:40:19.349Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
1932935926	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CIMA093	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Cordillera Azul National Park	Huanuco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-8.4949	-76.0936							2016-01-01T00:00:00			2016	2433401	2433401	OCCURRENCE		Cordillera Azul National Park- SERNANP/CIMA					CC_BY_NC_4_0		Zocimo Carrion			2022-01-30T11:40:19.351Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935925	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CIMA086	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Cordillera Azul National Park	Not available	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.102	-76.02							2005-01-01T00:00:00			2005	2433401	2433401	OCCURRENCE		Cordillera Azul National Park- SERNANP/CIMA					CC_BY_NC_4_0		rangers			2022-01-30T11:40:19.350Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935924	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CIMA087	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Cordillera Azul National Park	Not available	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.09	-76.07							2005-01-01T00:00:00			2005	2433401	2433401	OCCURRENCE		Cordillera Azul National Park- SERNANP/CIMA					CC_BY_NC_4_0		rangers			2022-01-30T11:40:19.354Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935923	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CIMA090	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Cordillera Azul National Park	Not available	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.07	-76.01							2005-01-01T00:00:00			2005	2433401	2433401	OCCURRENCE		Cordillera Azul National Park- SERNANP/CIMA					CC_BY_NC_4_0		rangers			2022-01-30T11:40:19.353Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935922	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TOPE:PNRA005	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Parque NacionalRío Abiseo	San Martin	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-8.000556	-77.379601											2433401	2433401	OCCURRENCE		Rio Abiseo National Park-SERNANP					CC_BY_NC_4_0		ranger			2022-01-30T11:40:19.355Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
1932935921	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CIMA079	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Cordillera Azul National Park	Not available	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.12	-76.07							2005-01-01T00:00:00			2005	2433401	2433401	OCCURRENCE		Cordillera Azul National Park- SERNANP/CIMA					CC_BY_NC_4_0		rangers			2022-01-30T11:40:19.354Z		GEODETIC_DATUM_ASSUMED_WGS84
